season,local_hour,n,mean,std,q0010,q0025,q0050,q0100,q0150,q0200,q0250,q0300,q0400,q0500,q0600,q0700,q0750,q0800,q0850,q0900,q0950,q0975,q0990
MAM,8,327,-0.7498368210165507,3.849413015204211,-8.618340530395507,-7.902476119995117,-6.618889999389649,-5.3355857849121096,-4.499132537841797,-4.026458740234375,-3.5126171112060547,-2.90787353515625,-2.0900405883789057,-0.9640884399414062,0.13253707885742166,1.0085693359374999,1.7099323272705078,2.2845962524414065,3.2313865661621053,4.08975296020508,6.198633956909176,7.570184326171875,8.856012039184574
MAM,9,314,-0.7137426111500734,3.387065588215418,-7.284252433776856,-6.4609373092651365,-5.758987045288086,-4.724118041992187,-4.121811103820801,-3.642572021484375,-2.9732913970947266,-2.543363952636719,-1.8740524291992187,-0.9690132141113281,-0.11009063720703181,0.5838233947753905,1.3516254425048828,2.0719482421875,2.7110473632812506,3.6407875061035155,6.064016403198241,6.9490255355834964,8.4934716796875
MAM,10,279,-0.3428345667247703,3.177533979781127,-7.36095100402832,-5.902322006225586,-5.217777633666992,-4.095214080810547,-3.3939739227294927,-2.7879539489746095,-2.3719615936279297,-1.9149139404296875,-1.1771141052246092,-0.3886756896972656,0.20243530273437418,0.9626998901367186,1.3003654479980469,1.8269752502441414,2.5925788879394522,3.489820861816408,5.468467712402342,6.936855316162111,7.939961776733397
MAM,11,292,-0.15927988705569746,2.632048589725185,-5.461578216552734,-5.012128639221191,-4.351650428771973,-3.4343414306640625,-2.6890918731689455,-2.2442916870117187,-1.9593963623046875,-1.573251724243164,-0.8749389648437497,-0.1196441650390625,0.34424743652343737,1.132131195068359,1.6984167098999023,2.087339782714844,2.330306816101074,2.9308376312255913,4.190142059326171,5.235190868377682,6.485301322937
MAM,12,305,-0.1539383604956455,2.1784304127963594,-5.990166320800781,-4.397470855712891,-3.5732666015625,-2.6902481079101563,-2.2589492797851562,-1.8892044067382812,-1.5875244140625,-1.2338897705078125,-0.6549407958984372,-0.1643829345703125,0.5118057250976563,0.9987945556640623,1.314997253417971,1.6623382568359384,2.1050056457519526,2.3856338500976584,3.034135437011719,4.012167358398437,4.404796600341793
MAM,13,303,-0.272567810461466,1.9065019132897294,-5.386984710693359,-4.027594184875488,-3.07775764465332,-2.3948440551757812,-1.9631450653076175,-1.627685546875,-1.4152488708496094,-1.2617446899414062,-0.7809600830078125,-0.28281402587890625,0.13376007080078098,0.6558837890624993,0.8955898284912109,1.2314453125000004,1.4631332397460934,1.9795852661132813,2.807253265380859,3.530156707763671,4.189202957153321
MAM,14,335,-0.24519063146790457,1.6138613122933063,-4.141643371582031,-3.3441986083984374,-2.687937545776367,-2.23631591796875,-1.8169288635253906,-1.5055267333984375,-1.1671395111083953,-0.8737106323242188,-0.5054046630859377,-0.14161300659179688,0.17898178100585954,0.48954162597656237,0.7512989044189453,0.9983261108398437,1.2459289550781243,1.490191650390625,2.187230178833015,2.701341438293456,3.649872207641603
MAM,15,338,-0.3408920834332528,1.4481417752679735,-3.717647705078125,-3.0926124572753904,-2.489748001098633,-2.0829452514648437,-1.6688937835693323,-1.5318588256835937,-1.3364877700805664,-1.1048740386962892,-0.7147003173828125,-0.3493785858154297,-0.07065277099609375,0.3779788970947265,0.5680046081542969,0.8080780029296878,1.0102108001708985,1.3347072601318362,1.9108131408691402,2.378841018676757,3.0303688049316384
MAM,16,382,-0.3803325844809647,1.3773517065607803,-3.6579033660888673,-2.9194948196411135,-2.41458740234375,-2.112428665161133,-1.7240877151489258,-1.4249969482421874,-1.199310302734375,-0.9944969177246094,-0.6765716552734373,-0.3679790496826172,-0.12253112792968754,0.18890762329101557,0.36498260498046875,0.5088104248046877,0.800374603271484,1.2668613433837899,2.0559234619140625,2.516441631317134,3.1966037368774396
MAM,17,383,-0.20343510321475192,1.515969540141856,-3.8818652343749998,-2.9269731521606444,-2.498590850830078,-2.018727111816406,-1.5903182983398438,-1.2888986816406203,-0.9946041107177734,-0.8387802124023438,-0.5596939086914062,-0.197998046875,0.03683776855468734,0.3708297119140638,0.6257381439208984,0.804801940917969,1.1115692138671873,1.4606422424316412,2.2434463500976554,2.9095891952514648,3.63125183105469
